TITLE,DESCRIPTION,LINK,Published Date,text,new_column,polarity,subjectivity,len,new_result
Rex Tillerson says continue diplomacy with North Korea ‘until first bomb drops’,,http://www.pbs.org/newshour/rundown/rex-tillerson-says-continue-diplomacy-north-korea-first-bomb-drops/,2017-10-16 11:08:00 ,Rex Tillerson says continue diplomacy with North Korea ‘until first bomb drops’ ,Rex Tillerson says continue diplomacy with North Korea ‘until first bomb drops’,0.25,0.3333333333333333,60,POLITICS
"Iraqi, Kurdish forces in standoff, weeks after Kurdish vote for independence",,http://www.pbs.org/newshour/bb/iraqi-kurdish-forces-standoff-weeks-kurdish-vote-independence/,2017-10-15 20:33:23 ,"Iraqi, Kurdish forces in standoff, weeks after Kurdish vote for independence ","Iraqi, Kurdish forces in standoff, weeks after Kurdish vote for independence",0.0,0.0,60,THE WORLDPOST
South Sudan civil war causes Africa’s worst refugee crisis,,http://www.pbs.org/newshour/bb/south-sudan-civil-war-causes-africas-worst-refugee-crisis/,2017-10-15 19:26:17 ,South Sudan civil war causes Africa’s worst refugee crisis ,South Sudan civil war causes Africa’s worst refugee crisis,-1.0,1.0,55,THE WORLDPOST
Hundreds dead after massive truck bomb strikes Mogadishu,,http://www.pbs.org/newshour/rundown/hundreds-dead-massive-truck-bomb-strikes-mogadishu/,2017-10-15 16:27:49 ,Hundreds dead after massive truck bomb strikes Mogadishu ,Hundreds dead after massive truck bomb strikes Mogadishu,-0.1,0.7,49,THE WORLDPOST
Column: Why reporting from South Sudan is so difficult — and critically needed,,http://www.pbs.org/newshour/updates/reporters-notebook-reporting-south-sudan-difficult-critically-needed/,2017-10-15 14:27:40 ,Column: Why reporting from South Sudan is so difficult — and critically needed ,Column: Why reporting from South Sudan is so difficult — and critically needed,-0.25,0.9,51,THE WORLDPOST
Aftermath of flooding in Brazil’s Amazonas state,The post Aftermath of flooding in Brazil’s Amazonas state appeared first on Reuters News Agency. Aftermath of flooding in Brazil’s Amazonas state Reuters News Agency,https://www.reutersagency.com/en/coverage/aftermath-of-flooding-in-brazils-amazonas-state/,2022-05-21 19:06:00 ,Aftermath of flooding in Brazil’s Amazonas state The post Aftermath of flooding in Brazil’s Amazonas state appeared first on Reuters News Agency. Aftermath of flooding in Brazil’s Amazonas state Reuters News Agency,Aftermath of flooding in Brazil’s Amazonas stateThe post Aftermath of flooding in Brazil’s Amazonas state appeared first on Reuters News Agency. Aftermath of flooding in Brazil’s Amazonas state Reuters News Agency,0.25,0.3333333333333333,161,THE WORLDPOST
People take the plunge with a shark dive in Florida,The post People take the plunge with a shark dive in Florida appeared first on Reuters News Agency. People take the plunge with a shark dive in Florida Reuters News Agency,https://www.reutersagency.com/en/coverage/people-take-the-plunge-with-a-shark-dive-in-florida/,2022-05-18 01:00:00 ,People take the plunge with a shark dive in Florida The post People take the plunge with a shark dive in Florida appeared first on Reuters News Agency. People take the plunge with a shark dive in Florida Reuters News Agency,People take the plunge with a shark dive in FloridaThe post People take the plunge with a shark dive in Florida appeared first on Reuters News Agency. People take the plunge with a shark dive in Florida Reuters News Agency,0.25,0.3333333333333333,161,GREEN
The moon is seen during a lunar eclipse in Los Angeles,The post The moon is seen during a lunar eclipse in Los Angeles appeared first on Reuters News Agency. The moon is seen during a lunar eclipse in Los Angeles Reuters News Agency,https://www.reutersagency.com/en/coverage/the-moon-is-seen-during-a-lunar-eclipse-in-los-angeles/,2022-05-16 01:06:00 ,The moon is seen during a lunar eclipse in Los Angeles The post The moon is seen during a lunar eclipse in Los Angeles appeared first on Reuters News Agency. The moon is seen during a lunar eclipse in Los Angeles Reuters News Agency,The moon is seen during a lunar eclipse in Los AngelesThe post The moon is seen during a lunar eclipse in Los Angeles appeared first on Reuters News Agency. The moon is seen during a lunar eclipse in Los Angeles Reuters News Agency,0.25,0.3333333333333333,152,SCIENCE
Wildfire in California,The post Wildfire in California appeared first on Reuters News Agency. Wildfire in California Reuters News Agency,https://www.reutersagency.com/en/coverage/wildfire-in-california/,2022-05-12 15:28:00 ,Wildfire in California The post Wildfire in California appeared first on Reuters News Agency. Wildfire in California Reuters News Agency,Wildfire in CaliforniaThe post Wildfire in California appeared first on Reuters News Agency. Wildfire in California Reuters News Agency,0.25,0.3333333333333333,107,GREEN
A Swiss farmer works in his field with his tractor in Sullens,The post A Swiss farmer works in his field with his tractor in Sullens appeared first on Reuters News Agency. A Swiss farmer works in his field with his tractor in Sullens Reuters News Agency,https://www.reutersagency.com/en/coverage/a-swiss-farmer-works-in-his-field-with-his-tractor-in-sullens/,2022-05-10 16:27:00 ,A Swiss farmer works in his field with his tractor in Sullens The post A Swiss farmer works in his field with his tractor in Sullens appeared first on Reuters News Agency. A Swiss farmer works in his field with his tractor in Sullens Reuters News Agency,A Swiss farmer works in his field with his tractor in SullensThe post A Swiss farmer works in his field with his tractor in Sullens appeared first on Reuters News Agency. A Swiss farmer works in his field with his tractor in Sullens Reuters News Agency,0.25,0.3333333333333333,167,SCIENCE
Verstappen beats Leclerc to win first Miami Grand Prix,The post Verstappen beats Leclerc to win first Miami Grand Prix appeared first on Reuters News Agency. Verstappen beats Leclerc to win first Miami Grand Prix Reuters News Agency,https://www.reutersagency.com/en/coverage/verstappen-beats-leclerc-to-win-first-miami-grand-prix/,2022-05-09 03:06:00 ,Verstappen beats Leclerc to win first Miami Grand Prix The post Verstappen beats Leclerc to win first Miami Grand Prix appeared first on Reuters News Agency. Verstappen beats Leclerc to win first Miami Grand Prix Reuters News Agency,Verstappen beats Leclerc to win first Miami Grand PrixThe post Verstappen beats Leclerc to win first Miami Grand Prix appeared first on Reuters News Agency. Verstappen beats Leclerc to win first Miami Grand Prix Reuters News Agency,0.49000000000000005,0.5533333333333333,200,BLACK VOICES
Judge releases Oath Keepers member pending trial for U.S. Capitol attack,The post Judge releases Oath Keepers member pending trial for U.S. Capitol attack appeared first on Reuters News Agency. Judge releases Oath Keepers member pending trial for U.S. Capitol attack Reuters News Agency,https://www.reutersagency.com/en/coverage/judge-releases-oath-keepers-member-pending-trial-for-u-s-capitol-attack/,2022-05-05 12:00:44 ,Judge releases Oath Keepers member pending trial for U.S. Capitol attack The post Judge releases Oath Keepers member pending trial for U.S. Capitol attack appeared first on Reuters News Agency. Judge releases Oath Keepers member pending trial for U.S. Capitol attack Reuters News Agency,Judge releases Oath Keepers member pending trial for U.S. Capitol attackThe post Judge releases Oath Keepers member pending trial for U.S. Capitol attack appeared first on Reuters News Agency. Judge releases Oath Keepers member pending trial for U.S. Capitol attack Reuters News Agency,0.25,0.3333333333333333,236,POLITICS
"In race for Georgia’s election chief, it’s all about Trump and 2020","The post In race for Georgia’s election chief, it’s all about Trump and 2020 appeared first on Reuters News Agency. In race for Georgia’s election chief, it’s all about Trump and 2020 Reuters News Agency",https://www.reutersagency.com/en/coverage/in-race-for-georgias-election-chief-its-all-about-trump-and-2020/,2022-05-05 11:17:00 ,"In race for Georgia’s election chief, it’s all about Trump and 2020 The post In race for Georgia’s election chief, it’s all about Trump and 2020 appeared first on Reuters News Agency. In race for Georgia’s election chief, it’s all about Trump and 2020 Reuters News Agency","In race for Georgia’s election chief, it’s all about Trump and 2020The post In race for Georgia’s election chief, it’s all about Trump and 2020 appeared first on Reuters News Agency. In race for Georgia’s election chief, it’s all about Trump and 2020 Reuters News Agency",0.25,0.3333333333333333,149,POLITICS
People enjoy the sunset in Vlora,The post People enjoy the sunset in Vlora appeared first on Reuters News Agency. People enjoy the sunset in Vlora Reuters News Agency,https://www.reutersagency.com/en/coverage/people-enjoy-the-sunset-in-vlora/,2022-05-04 19:23:00 ,People enjoy the sunset in Vlora The post People enjoy the sunset in Vlora appeared first on Reuters News Agency. People enjoy the sunset in Vlora Reuters News Agency,People enjoy the sunset in VloraThe post People enjoy the sunset in Vlora appeared first on Reuters News Agency. People enjoy the sunset in Vlora Reuters News Agency,0.36250000000000004,0.4583333333333333,125,WELLNESS
Liverpool fight back to reach Champions League final with win over Villarreal,The post Liverpool fight back to reach Champions League final with win over Villarreal appeared first on Reuters News Agency. Liverpool fight back to reach Champions League final with win over Villarreal Reuters News Agency,https://www.reutersagency.com/en/coverage/liverpool-fight-back-to-reach-champions-league-final-with-win-over-villarreal/,2022-05-04 00:10:00 ,Liverpool fight back to reach Champions League final with win over Villarreal The post Liverpool fight back to reach Champions League final with win over Villarreal appeared first on Reuters News Agency. Liverpool fight back to reach Champions League final with win over Villarreal Reuters News Agency,Liverpool fight back to reach Champions League final with win over VillarrealThe post Liverpool fight back to reach Champions League final with win over Villarreal appeared first on Reuters News Agency. Liverpool fight back to reach Champions League final with win over Villarreal Reuters News Agency,0.265,0.4533333333333333,239,SPORTS
Marjorie Taylor Greene predicts Mayorkas impeachment articles will pass House without any Dem support,,https://www.foxnews.com/politics/marjorie-taylor-greene-predicts-mayorkas-impeachment-articles-pass-house-without-any-dem-support,2024-01-30 04:00:55-05:00,Marjorie Taylor Greene predicts Mayorkas impeachment articles will pass House without any Dem support ,Marjorie Taylor Greene predicts Mayorkas impeachment articles will pass House without any Dem support,0.0,0.0,90,POLITICS
"Watchdog group launches campaign to expose antisemitic students, faculty on college campuses",,https://www.foxnews.com/politics/watchdog-group-launches-campaign-expose-antisemitic-students-faculty-college-campuses,2024-01-30 04:00:44-05:00,"Watchdog group launches campaign to expose antisemitic students, faculty on college campuses ","Watchdog group launches campaign to expose antisemitic students, faculty on college campuses",0.0,0.0,83,COLLEGE
Rep Tenney nominates Trump for Nobel Peace Prize for 'historic' Abraham Accords,,https://www.foxnews.com/politics/rep-tenney-nominates-trump-nobel-peace-prize-historic-abraham-accords,2024-01-30 04:00:40-05:00,Rep Tenney nominates Trump for Nobel Peace Prize for 'historic' Abraham Accords ,Rep Tenney nominates Trump for Nobel Peace Prize for 'historic' Abraham Accords,0.0,0.0,67,POLITICS
Republicans to grill top Biden officials over actions targeting key hydro dams,,https://www.foxnews.com/politics/republicans-grill-top-biden-officials-over-actions-targeting-key-hydro-dams,2024-01-30 04:00:22-05:00,Republicans to grill top Biden officials over actions targeting key hydro dams ,Republicans to grill top Biden officials over actions targeting key hydro dams,0.19999999999999998,0.5333333333333333,65,POLITICS
Hunter Biden business partner's dad boasted about CCP leaders praising his book: 'You touched my heart',,https://www.foxnews.com/politics/hunter-biden-business-partners-dad-ccp-leaders-praising-book-touched-heart,2024-01-30 04:00:10-05:00,Hunter Biden business partner's dad boasted about CCP leaders praising his book: 'You touched my heart' ,Hunter Biden business partner's dad boasted about CCP leaders praising his book: 'You touched my heart',0.0,0.0,75,POLITICS
Biden’s leaked campaign plan: Target Trump (of course) and work social media,,https://www.foxnews.com/politics/bidens-leaked-campaign-plan-target-trump-course-work-social-media,2024-01-30 03:00:05-05:00,Biden’s leaked campaign plan: Target Trump (of course) and work social media ,Biden’s leaked campaign plan: Target Trump (of course) and work social media,0.03333333333333333,0.06666666666666667,62,POLITICS
Top Obama official's attack on Biden's foreign policy failures resurfaces after 3 US soldiers killed,,https://www.foxnews.com/politics/top-obama-officials-attack-biden-foreign-policy-failures-resurfaces-3-us-soldiers-killed,2024-01-29 20:25:30-05:00,Top Obama official's attack on Biden's foreign policy failures resurfaces after 3 US soldiers killed ,Top Obama official's attack on Biden's foreign policy failures resurfaces after 3 US soldiers killed,0.1875,0.3125,80,POLITICS
Austin city agency offers racially segregated 'anti-racist' trainings for 'white folks' and 'people of color',,https://www.foxnews.com/politics/austin-city-agency-offers-racially-segregated-anti-racist-trainings-for-white-folks-and-people-of-color,2024-01-29 20:10:27-05:00,Austin city agency offers racially segregated 'anti-racist' trainings for 'white folks' and 'people of color' ,Austin city agency offers racially segregated 'anti-racist' trainings for 'white folks' and 'people of color',0.0,0.0,86,BLACK VOICES
"'Don't know' what shutting down the border means 'exactly,' White House spokeswoman says",,https://www.foxnews.com/politics/dont-know-what-shutting-down-border-means-exactly-white-house-spokeswoman-says,2024-01-29 17:26:50-05:00,"'Don't know' what shutting down the border means 'exactly,' White House spokeswoman says ","'Don't know' what shutting down the border means 'exactly,' White House spokeswoman says",-0.15625,0.34375,58,POLITICS
Resurfaced video of Matt Rosendale reveals GOP divide in potential Montana Senate primary,,https://www.foxnews.com/politics/resurfaced-video-matt-rosendale-reveals-gop-divide-potential-montana-senate-primary,2024-01-29 16:20:03-05:00,Resurfaced video of Matt Rosendale reveals GOP divide in potential Montana Senate primary ,Resurfaced video of Matt Rosendale reveals GOP divide in potential Montana Senate primary,0.2,0.75,81,POLITICS
Judge in Hunter Biden gun case orders search warrants unsealed,,https://www.foxnews.com/politics/judge-in-hunter-biden-gun-case-orders-search-warrants-unsealed,2024-01-29 16:19:32-05:00,Judge in Hunter Biden gun case orders search warrants unsealed ,Judge in Hunter Biden gun case orders search warrants unsealed,0.0,0.0,55,POLITICS
Ford plans to hire Chinese military software supplier for EV factory in US: GOP investigators,,https://www.foxnews.com/politics/ford-plans-hire-chinese-military-software-supplier-ev-factory-us-gop-investigators,2024-01-29 16:18:58-05:00,Ford plans to hire Chinese military software supplier for EV factory in US: GOP investigators ,Ford plans to hire Chinese military software supplier for EV factory in US: GOP investigators,-0.05,0.05,75,POLITICS
Biden vs. Johnson border standoff: Experts split on who has the authority to solve crisis,,https://www.foxnews.com/politics/biden-vs-johnson-border-standoff-experts-split-whoauthority-solve-crisis,2024-01-29 15:54:02-05:00,Biden vs. Johnson border standoff: Experts split on who has the authority to solve crisis ,Biden vs. Johnson border standoff: Experts split on who has the authority to solve crisis,0.0,0.0,66,POLITICS
Ex-IRS contractor who leaked Trump's tax returns sentenced to 5 years in prison,,https://www.foxnews.com/politics/ex-irs-contractor-who-leaked-trumps-tax-returns-sentenced-5-years-prison,2024-01-29 12:08:08-05:00,Ex-IRS contractor who leaked Trump's tax returns sentenced to 5 years in prison ,Ex-IRS contractor who leaked Trump's tax returns sentenced to 5 years in prison,0.0,0.0,58,POLITICS
Texas Gov. Abbott sends stark message to sanctuary cities as migrant crisis continues,,https://www.foxnews.com/politics/texas-governor-abbott-stark-message-sanctuary-cities-migrant-crisis,2024-01-29 15:03:34-05:00,Texas Gov. Abbott sends stark message to sanctuary cities as migrant crisis continues ,Texas Gov. Abbott sends stark message to sanctuary cities as migrant crisis continues,-0.2,0.6,76,POLITICS
White House defends UNRWA amid terrorist allegations: 'Don't impugn the whole agency',,https://www.foxnews.com/politics/white-house-defends-unrwa-terrorist-allegations-dont-impugn-whole-agency,2024-01-29 14:58:19-05:00,White House defends UNRWA amid terrorist allegations: 'Don't impugn the whole agency' ,White House defends UNRWA amid terrorist allegations: 'Don't impugn the whole agency',0.1,0.2,76,POLITICS
At war or not? US conflict with Iran-backed militias blurs line,,https://www.foxnews.com/politics/war-not-us-conflict-iran-backed-militias-blurs-line,2024-01-29 14:33:39-05:00,At war or not? US conflict with Iran-backed militias blurs line ,At war or not? US conflict with Iran-backed militias blurs line,0.0,0.0,41,WORLDPOST
"Gina Swoboda, activist endorsed by Trump, becomes new Arizona Republican party chair",,https://www.foxnews.com/politics/gina-swoboda-activist-trump-becomes-new-arizona-republican-party-chair,2024-01-29 14:19:46-05:00,"Gina Swoboda, activist endorsed by Trump, becomes new Arizona Republican party chair ","Gina Swoboda, activist endorsed by Trump, becomes new Arizona Republican party chair",0.0,0.0,73,POLITICS
Justice Department announces new resources to combat violent crime in DC,,https://www.foxnews.com/politics/justice-department-announces-new-resources-combat-violent-crime-dc,2024-01-26 08:35:46-05:00,Justice Department announces new resources to combat violent crime in DC ,Justice Department announces new resources to combat violent crime in DC,-0.8,1.0,58,POLITICS
"Austin declares 'outrage and sorrow' for 3 soldiers killed in Iran proxy attack, vows action",,https://www.foxnews.com/politics/austin-declares-outrage-sorrow-3-soldiers-killed-iran-proxy-attack-vows-action,2024-01-29 13:45:29-05:00,"Austin declares 'outrage and sorrow' for 3 soldiers killed in Iran proxy attack, vows action ","Austin declares 'outrage and sorrow' for 3 soldiers killed in Iran proxy attack, vows action",0.1,0.1,71,POLITICS
US forces attacked at least 160 times in the Middle East since mid-October after Sunday's drone strike,,https://www.foxnews.com/politics/us-forces-attacked-least-160-times-middle-east-since-mid-october-sundays-drone-strike,2024-01-29 13:38:58-05:00,US forces attacked at least 160 times in the Middle East since mid-October after Sunday's drone strike ,US forces attacked at least 160 times in the Middle East since mid-October after Sunday's drone strike,-0.09999999999999999,0.13333333333333333,69,WORLD NEWS
Former North Dakota senator Tom Campbell launches bid for state's only US House seat,,https://www.foxnews.com/politics/former-north-dakota-senator-tom-campbell-launches-bid-states-us-house-seat,2024-01-29 13:29:42-05:00,Former North Dakota senator Tom Campbell launches bid for state's only US House seat ,Former North Dakota senator Tom Campbell launches bid for state's only US House seat,0.0,0.0,68,POLITICS
Supreme Court sets date to hear abortion pill challenge,,https://www.foxnews.com/politics/supreme-court-sets-date-hear-abortion-pill-challenge,2024-01-29 13:25:53-05:00,Supreme Court sets date to hear abortion pill challenge ,Supreme Court sets date to hear abortion pill challenge,0.0,0.0,51,WOMEN
Drone from Iran proxy evaded US defenses because it was mistaken for US drone: official,,https://www.foxnews.com/politics/drone-iran-proxy-evaded-us-defenses-mistaken-us-drone-official,2024-01-29 11:31:57-05:00,Drone from Iran proxy evaded US defenses because it was mistaken for US drone: official ,Drone from Iran proxy evaded US defenses because it was mistaken for US drone: official,0.0,0.0,54,THE WORLDPOST
Top House Republican says '911 prank call' sent police to his home in ‘swatting’ incident,,https://www.foxnews.com/politics/top-house-republican-says-911-prank-call-sent-police-his-home-swatting-incident,2024-01-29 13:10:48-05:00,Top House Republican says '911 prank call' sent police to his home in ‘swatting’ incident ,Top House Republican says '911 prank call' sent police to his home in ‘swatting’ incident,0.5,0.5,62,POLITICS
Nvidia’s biggest customers are also the AI chip maker’s biggest threat,"Nvidia—which roughly translates to “envy” in Latin—has been having its AI moment. The chip maker’s stock is up almost 30% year-to-date, closing at $624.65 on Monday. AI moment Read more... Read more...",https://qz.com/nvidia-generative-ai-google-microsoft-meta-1851206854,2024-01-30 10:00:00 ,"Nvidia’s biggest customers are also the AI chip maker’s biggest threat Nvidia—which roughly translates to “envy” in Latin—has been having its AI moment. The chip maker’s stock is up almost 30% year-to-date, closing at $624.65 on Monday. AI moment Read more... Read more...","Nvidia’s biggest customers are also the AI chip maker’s biggest threatNvidia—which roughly translates to “envy” in Latin—has been having its AI moment. The chip maker’s stock is up almost 30% year-to-date, closing at $624.65 on Monday. AI moment Read more... Read more...",-0.1,0.4,162,STYLE
"The 34 most powerful passports in the world, ranked","The list of the most powerful passports in the world, compiled by consultancy firm Henley & Partners, is all about global mobility—where the holder of the passport can travel without a visa. list of the most powerful passports in the world Read more... Read more...",https://qz.com/most-powerful-passports-2024-rankings-1851207317,2024-01-30 10:00:00 ,"The 34 most powerful passports in the world, ranked The list of the most powerful passports in the world, compiled by consultancy firm Henley & Partners, is all about global mobility—where the holder of the passport can travel without a visa. list of the most powerful passports in the world Read more... Read more...","The 34 most powerful passports in the world, rankedThe list of the most powerful passports in the world, compiled by consultancy firm Henley & Partners, is all about global mobility—where the holder of the passport can travel without a visa. list of the most powerful passports in the world Read more... Read more...",-0.016666666666666673,0.7166666666666667,191,TRAVEL
Elon Musk and Bernard Arnault keep taking turns as the world's richest person,The richest person in the world depended on who you asked on Monday — and when you asked.Bloomberg said Elon Musk on Monday morning; Forbes said Bernard Arnault. Bloomberg Elon Musk Forbes Bernard Arnault Read more... Read more...,https://qz.com/elon-musk-bernard-arnault-worlds-richest-person-1851207288,2024-01-29 22:31:00 ,Elon Musk and Bernard Arnault keep taking turns as the world's richest person The richest person in the world depended on who you asked on Monday — and when you asked.Bloomberg said Elon Musk on Monday morning; Forbes said Bernard Arnault. Bloomberg Elon Musk Forbes Bernard Arnault Read more... Read more...,Elon Musk and Bernard Arnault keep taking turns as the world's richest personThe richest person in the world depended on who you asked on Monday — and when you asked.Bloomberg said Elon Musk on Monday morning; Forbes said Bernard Arnault. Bloomberg Elon Musk Forbes Bernard Arnault Read more... Read more...,0.0,0.0,216,BUSINESS
Taylor Swift AI deepfakes took over the Internet. Here's what to know,"Last week, explicit AI-generated photos of Taylor Swift flooded X, marking the latest high-profile deepfakes and highlighting the challenge of stopping them. deepfakes challenge of stopping them Read more... Read more...",https://qz.com/taylor-swift-ai-porn-deepfakes-1851205275,2024-01-29 20:50:00 ,"Taylor Swift AI deepfakes took over the Internet. Here's what to know Last week, explicit AI-generated photos of Taylor Swift flooded X, marking the latest high-profile deepfakes and highlighting the challenge of stopping them. deepfakes challenge of stopping them Read more... Read more...","Taylor Swift AI deepfakes took over the Internet. Here's what to knowLast week, explicit AI-generated photos of Taylor Swift flooded X, marking the latest high-profile deepfakes and highlighting the challenge of stopping them. deepfakes challenge of stopping them Read more... Read more...",0.22,0.5022222222222222,189,POLITICS
Elon Musk just lost his spot as the richest person in the world,"The ever-changing winds of fortune atop the world’s ranking of billionaires are no longer blowing in Elon Musk’s favor: He’s been overtaken once again by LVMH chairman and CEO Bernard Arnault as the world’s richest man. Though Bloomberg’s Billionaire Index still has Musk at No. 1, followed by quickly gaining Jeff Bezos once again followed by quickly gaining Jeff Bezos Read more... Read more...",https://qz.com/elon-musk-tesla-bernard-arnault-lvmh-billionaires-1851206350,2024-01-29 19:23:00 ,"Elon Musk just lost his spot as the richest person in the world The ever-changing winds of fortune atop the world’s ranking of billionaires are no longer blowing in Elon Musk’s favor: He’s been overtaken once again by LVMH chairman and CEO Bernard Arnault as the world’s richest man. Though Bloomberg’s Billionaire Index still has Musk at No. 1, followed by quickly gaining Jeff Bezos once again followed by quickly gaining Jeff Bezos Read more... Read more...","Elon Musk just lost his spot as the richest person in the worldThe ever-changing winds of fortune atop the world’s ranking of billionaires are no longer blowing in Elon Musk’s favor: He’s been overtaken once again by LVMH chairman and CEO Bernard Arnault as the world’s richest man. Though Bloomberg’s Billionaire Index still has Musk at No. 1, followed by quickly gaining Jeff Bezos once again followed by quickly gaining Jeff Bezos Read more... Read more...",-0.044444444444444474,0.6333333333333333,301,BUSINESS
Walmart store managers are getting new stock perks,Walmart managers have a new reason to be cheerful.  Read more... Read more...,https://qz.com/walmart-stock-grants-managers-bonuses-1851205728,2024-01-29 19:19:00 ,Walmart store managers are getting new stock perks Walmart managers have a new reason to be cheerful.  Read more... Read more...,Walmart store managers are getting new stock perksWalmart managers have a new reason to be cheerful.  Read more... Read more...,0.4,1.0,76,BUSINESS
Tesla dropped diversity language from its annual report — just before Black History Month,"Tesla’s annual shareholder report is out. It includes a bunch of growing numbers: Almost $100 billion in revenue, more than 1.8 million cars delivered to customers, more than 140,000 employees. But one thing that isn’t increasing in size, just ahead of Black History Month in February, is the “Human Capital Resources”… annual shareholder report is out Read more... Read more...",https://qz.com/tesla-diversity-black-history-month-1851205735,2024-01-29 18:54:00 ,"Tesla dropped diversity language from its annual report — just before Black History Month Tesla’s annual shareholder report is out. It includes a bunch of growing numbers: Almost $100 billion in revenue, more than 1.8 million cars delivered to customers, more than 140,000 employees. But one thing that isn’t increasing in size, just ahead of Black History Month in February, is the “Human Capital Resources”… annual shareholder report is out Read more... Read more...","Tesla dropped diversity language from its annual report — just before Black History MonthTesla’s annual shareholder report is out. It includes a bunch of growing numbers: Almost $100 billion in revenue, more than 1.8 million cars delivered to customers, more than 140,000 employees. But one thing that isn’t increasing in size, just ahead of Black History Month in February, is the “Human Capital Resources”… annual shareholder report is out Read more... Read more...",-0.1111111111111111,0.32222222222222224,304,BUSINESS
China’s lead over the US in chip startup funding is bigger than ever,"When it comes to venture capital for computer chips, the gap between the US and China has never been wider. computer chips the US Read more... Read more...",https://qz.com/semiconductor-ai-chips-venture-capital-funding-nvidia-s-1851205542,2024-01-29 18:08:07 ,"China’s lead over the US in chip startup funding is bigger than ever When it comes to venture capital for computer chips, the gap between the US and China has never been wider. computer chips the US Read more... Read more...","China’s lead over the US in chip startup funding is bigger than everWhen it comes to venture capital for computer chips, the gap between the US and China has never been wider. computer chips the US Read more... Read more...",0.0,0.5,121,BUSINESS
